"","NUTS","Latitude","Longitude","Cases_density_2","response2","residuals2"
"65","FRM0",42.1267,9.0976,0.00102640610408047,-1.91764209293984,-1.90746868775758
"66","HR03",44.4289,15.5424,0.0528613293618731,0.530442392059998,0.0708285971421716
"67","ITC1",45.0634,7.9189,0.0477651670050475,0.289758404997099,0.57237178814333
"68","ITC2",45.7281,7.3925,0.0538893420989491,0.578993868050455,0.601647376962215
"69","ITC3",44.1573,8.1521,0.0425924007067036,0.0454565304379991,0.341812107098709
"70","ITC4",45.6127,9.773,0.0477729371389092,0.290125376586089,0.0840616650955324
"71","ITF1",42.2341,13.8714,0.0363300954216614,-0.250302611181632,-0.21302821886693
"72","ITF2",41.5949,14.5396,0.0316122935218092,-0.473117210074566,0.0764537139753409
"73","ITF3",41.0387,14.7373,0.0430664988604102,0.0678474642237784,0.486427743317864
"74","ITF4",41.0043,16.5847,0.0340894517372173,-0.356124800075792,-0.471449875731591
"75","ITF5",40.5157,16.0794,0.0258217744471798,-0.746594607469279,-0.29000045051808
"76","ITF6",39.1604,16.3822,0.0184989256167804,-1.09244160561265,-0.740673166713316
"77","ITG1",37.5704,14.1658,0.0296811061495829,-0.564324248620031,0.168090456300991
"78","ITG2",40.0775,9.0348,0.0242538413187716,-0.820645701286539,-0.547566306894468
"79","ITH1",46.7053,11.4241,0.0909519303700032,2.32940346871798,1.72021172144235
"80","ITH2",46.1313,10.859,0.0489728193610487,0.346793986612541,0.294717118347273
"81","ITH3",45.661,11.8546,0.0623584149069107,0.978975279046138,0.395524990178871
"82","ITH4",46.1665,13.0495,0.0581421569602791,0.779847837252262,0.760867165539928
"83","ITH5",44.5224,11.0296,0.0478356423742288,0.29308684935515,0.347119569233355
"84","ITI1",43.4794,11.1306,0.0370662048364886,-0.215537284555443,-0.209909806511143
"85","ITI2",42.9717,12.4893,0.0472806881453517,0.26687720627644,0.159647762156353
"86","ITI3",43.3477,13.153,0.0371349506039644,-0.212290526651896,-0.542835778611292
"87","ITI4",41.9898,12.7501,0.0374159528814914,-0.199019217028416,-0.478707604158342
"89","LV00",56.6829,26.382,0.0418215891071592,0.00905227247628367,-0.0896231595823045
"91","NL11",53.2675,6.6929,0.0389389382555055,-0.127090937199331,0.527373953612747
"92","NL12",53.0649,5.8002,0.0370639903870564,-0.215641869629694,-0.819612347603203
"93","NL13",52.8638,6.6292,0.0410426144765254,-0.0277375130121433,-0.267464056002738
"94","NL21",52.4452,6.4397,0.060906430283395,0.910400256534595,0.289874668805741
"95","NL22",52.0672,5.9378,0.0536220392415549,0.566369561176722,-0.0687054977446444
"96","NL23",52.5438,5.4817,0.0567182243907513,0.712597670529522,0.114498687769887
"97","NL31",52.0749,5.2003,0.0597780070359171,0.85710654505508,0.288765285033354
"98","NL32",52.5945,4.9123,0.0584099402436581,0.792494833913608,0.160827381703241
"99","NL33",51.9388,4.4867,0.0623024496708196,0.976332126176157,0.602099633475127
"100","NL34",51.3073,3.7883,0.0387469751335114,-0.136157063106547,-0.0503775635378989
"101","NL41",51.5461,5.4595,0.0599710100255369,0.86622178232662,0.00693294250165188
"102","NL42",51.1854,5.9292,0.0574713055215668,0.748164545455271,0.00204332397253693
"103","PT11",41.4531,-7.6933,0.0851734856956182,2.05649632685845,0.0216429731974159
"104","PT15",37.2026,-8.1299,0.0428643768561562,0.0583015497785988,0.00936349286809048
"105","PT16",40.1425,-7.9946,0.0500192803360867,0.396216744786745,-0.189734321178026
"106","PT17",38.6221,-8.8878,0.0951023863607789,2.52542318434792,1.16086810471527
