geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
SE11	1872510	1843300	1856710	1897080	1940420	2017130	2048590	2082210	2145560
SE12	1154230	1155550	1166690	1181450	1201450	1242060	1266940	1291280	1288330
SE21	656030	656480	654240	663790	671600	691050	702560	710050	693460
SE22	1051940	1038900	1041830	1059080	1075590	1107610	1125250	1144240	1126430
SE23	1497110	1494460	1497120	1519030	1545370	1603360	1638850	1667250	1652010
SE31	597190	611890	609830	613410	617090	632350	641460	648600	632480
SE32	277500	282870	281470	283750	285020	290420	292980	295470	288210
SE33	388260	402600	405480	407640	408720	416720	417650	422920	411460
SEZZ	1360	1120	1120	1090	1020	1010			960
SI03	768842.52	749047.34	744429.25	750904.82	767070.08	760116.57	765407.84	775402.28	794034.36
SI04	806773.99	793815.42	797646.71	815931.14	825517.41	828117.96	838936.87	857027.63	881382.67
SK01	770252	779500	750759	757216	771545	792091	798079	812644	801421
SK02	1370610	1351181	1326310	1335639	1360211	1377423	1382690	1396909	1403851
SK03	913546	906144	907608	911639	927440	937165	941748	959293	966024
SK04	905120	915939	899144	907390	917493	931973	943017	954483	965932
