geo	2016	2017	2018	2019	2020
NL13	16.9	16.2	15.8	17.0	18.1
NL21	17.7	18.0	17.9	17.5	17.3
NL22	18.2	19.2	19.1	19.3	17.6
NL23	19.2	19.1	18.4	18.1	18.0
NL31	22.1	21.8	21.3	22.9	22.2
NL32	20.2	20.4	20.2	20.6	20.5
NL33	19.5	19.8	20.0	20.5	19.9
NL34	17.4	15.2	16.8	16.3	17.7
NL41	17.4	17.9	17.8	17.7	17.5
NL42	16.0	17.0	16.3	16.7	15.3
NO01	21.7	22.5	22.1	21.3	17.3
NO02	19.3	18.6	17.2	17.5	15.3
NO03	17.1	17.8	17.9	17.3	14.8
NO04	18.4	18.5	18.7	19.5	16.2
NO05	19.9	19.6	19.5	18.8	16.8
NO06	20.3	20.7	20.0	19.5	17.3
NO07	20.2	20.0	20.1	19.3	16.1
PL21	3.8	5.8	6.7	5.4	4.8
PL22	3.6	4.5	6.1	5.0	3.4
PL41	2.4	2.8	4.2	3.8	2.6
PL42	2.6	2.8	4.4	3.2	2.6
PL43	2.5	2.1	3.8	3.0	2.6
PL51	4.3	3.3	6.1	6.1	4.9
PL52	2.6	3.3	3.8	3.1	2.8
PL61	3.3	3.8	4.7	5.2	3.8
PL62	2.4	2.4	3.3	3.2	2.2
PL63	5.5	5.3	7.1	5.9	4.1
PL71	2.8	2.8	4.7	3.0	2.8
PL72	2.9	2.9	3.3	2.6	2.1
PL81	4.2	4.3	6.6	5.5	4.3
PL82	2.0	2.1	3.6	2.4	2.0
PL84	3.6	3.4	5.3	4.3	3.0
PL91	8.9	9.2	13.9	10.6	8.6
PL92	2.2	1.9	2.5	2.4	1.5
PT11	8.2	8.5	9.0	8.9	8.4
PT15	8.1	8.6	8.7	8.3	9.4
PT16	10.1	9.7	10.9	10.9	10.4
PT17	12.4	12.8	12.5	13.5	12.5
PT18	7.8	8.5	9.7	10.1	10.3
PT20	6.4	5.9	5.8	5.1	5.8
PT30	8.0	8.1	9.4	8.9	7.9
RO11	1.4	1.1	0.7	0.6	0.7
RO12	1.1	1.1	0.7	1.1	1.0
RO21	1.1	1.1	0.9	0.9	0.6
RO22	0.7	0.6	0.7	0.7	0.6
RO31	1.5	1.4	1.2	3.0	2.2
RO32	1.4	1.3	1.4	1.0	0.8
RO41	0.7	0.7		0.7	0.8
RO42	1.6	1.1	1.2	2.0	1.5
RS11	7.4	6.2	5.8	6.1	5.6
RS12	5.3	4.8	4.1	4.3	3.5
RS21	3.6	3.1	3.0	3.4	2.9
RS22	4.2	3.3	3.4	3.3	2.7
SE11	31.3	31.6	32.3	35.7	30.1
SE12	30.6	30.8	32.0	34.5	29.3
SE21	27.0	27.9	30.1	33.3	25.3
SE22	30.0	31.6	32.9	35.8	29.3
SE23	30.1	31.3	32.0	34.8	28.5
SE31	26.1	27.8	27.7	30.5	26.6
SE32	26.0	27.2	26.1	31.1	26.1
SE33	27.2	27.5	29.4	30.9	26.2
SI03	10.5	10.6	10.5	10.4	7.6
SI04	13.0	13.6	12.4	12.0	9.3
SK01	7.2	5.8	7.4	7.0	4.7
SK02	2.5	3.2	3.4	2.6	2.0
SK03	2.7	2.6	3.6	4.0	3.2
SK04	1.8	3.3	3.5	3.1	2.7
TR10	7.5	8.2	8.2	7.4	7.4
TR21	5.0	5.8	5.4	6.1	6.2
TR22	4.8	4.9	4.2	4.3	4.6
TR31	5.9	6.3	7.0	5.7	5.2
TR32	4.4	4.1	4.2	4.2	5.2
TR33	2.9	2.8	3.2	2.6	3.5
TR41	3.9	4.3	4.6	4.1	5.4
TR42	7.7	7.4	7.7	7.2	6.5
TR51	7.7	8.0	8.9	8.7	7.9
TR52	5.5	5.0	4.8	4.4	5.1
TR61	7.4	7.3	7.4	6.7	6.7
TR62	4.9	4.0	4.5	4.4	4.7
TR63	4.1	3.9	4.5	3.6	4.4
TR71	4.0	3.7	4.7	4.0	4.2
TR72	5.0	5.3	5.8	5.5	5.3
TR81	6.1	5.4	5.5	5.1	5.4
TR82	4.6	5.4	5.0	5.1	5.2
TR83	5.7	5.4	5.6	5.2	4.9
TR90	4.1	2.9	3.3	3.6	4.7
TRA1	5.6	6.5	6.2	6.5	6.0
TRA2	4.9	4.4	4.7	4.1	4.0
TRB1	7.1	7.5	9.6	7.5	5.7
TRB2	4.1	4.1	5.9	5.7	5.1
TRC1	4.0	3.4	3.8	4.0	5.0
TRC2	4.7	4.1	4.5	3.7	2.5
TRC3	4.9	5.4	5.2	4.8	5.7
UKC1	13.5	12.3	12.7	14.1	
UKC2	11.5	12.4	13.2	12.8	
UKD1	13.5	11.8	14.8	14.2	
UKD3	14.7	14.1	14.1	14.9	
