geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
FI19	45622.19	46245.26	46129.17	46657.16	47410.36	48275.96	49910.54	51618.16	52629.66
FI1B	74930.9	75693.19	78508.63	79134.89	82485.45	84961.77	88375.6	91626.81	95445.5
FI1C	37350.5	38207.93	38183.57	38898.96	39211.25	40355.15	42389.31	43450.63	44204.86
FI1D	38805.44	39498.57	40091.31	40811.05	40830.94	42499.28	44172.46	45396.31	46115.18
FI20	1199.2	1306.43	1344.02	1329.33	1387.19	1368.28	1394.21	1303.48	1361.9
FIZZ	89.77	85.62	64.29	65.62	59.81	57.56	58.88	72.61	94.91
FR10	615464.02	630570.93	644647.24	653936.16	671538.9	685817.13	705305.15	729751.49	758527.29
FRB0	68052.1	68596.24	69085.38	69468.22	70774.52	71048.6	72748.41	74330.35	75387.02
FRC1	43493.4	43557.69	43859.9	44637.54	44896.2	44373.99	46212.42	47423.46	47424.29
FRC2	29348.32	28305.43	28309.35	28838.78	29500.96	30081.64	30638.41	30897.9	32041.65
FRD1	37959.73	37723.57	38151.05	38154.22	38827.49	39135.45	39089.29	40083.26	40923.25
FRD2	51731.66	52464.75	52897.49	53141.89	53234.01	53557.5	54330.35	54670.35	55341.99
FRE1	103970.35	103916.64	105445.24	106899.84	109004.34	110410.03	113633.27	116345.36	121880.62
FRE2	46424.65	46978.61	47089.44	47018.43	48434.69	47758.9	49594.65	49993.57	51122.75
FRF1	54615.63	54600.11	55522.06	56386.25	57258.27	58447.25	60084.46	62096.53	63397.21
FRF2	37619.33	36746.91	37037.11	36965.86	37242.54	36730.19	38113.93	39153.95	39051.97
FRF3	56170.57	55830.09	56303.28	57131.34	57778.35	57630.31	59071.27	59505.02	60081.56
FRG0	100883.6	102205.06	103924.67	105990.04	108926.39	110973.13	114314.14	117477.67	121375.97
FRH0	84235.09	85511.01	86906.87	88969.62	91363.32	93364.07	96792.73	98823.72	102109
FRI1	92070.05	93298.94	93520.56	95495.68	97953.01	100237.9	102688.84	106444.64	110067.46
FRI2	17267.31	17348.64	17738.28	18008.69	18306.71	18142.41	18608.75	18969.08	18949.34
FRI3	45072.73	46185.87	46599.37	47539.11	48081.24	48384.43	49744.93	51188.94	52443.63
FRJ1	65754.54	66269.37	66456.8	67521.96	68969.08	70218.9	72076.34	74067.02	76934.59
FRJ2	80742.78	83596.4	85481.79	88067.09	90592.94	92644.49	94830.48	98479.36	101134.63
FRK1	33703.03	33874.52	34533.55	35015.65	35834.19	36095.58	37967.15	38076.42	39158.38
FRK2	200888.75	203124.39	205364.69	208918.63	214120.02	219750.88	226343.37	234791.77	243451.48
FRL0	145939.5	150175.55	149870.77	151996.32	154643.27	157136.33	161638.7	165961.21	170918.51
FRM0	7984.37	8090.96	8216.89	8342.6	8621.85	8736.24	9057.22	9390.51	9408.41
FRY1	8636	8776	8812	9003	9167	9332	9382	9559	9710
FRY2	8143	8247	8275	8506	8673	8650	8786	8896	9136
FRY3	3572	3783	3856	3964	3993	4131	4127	4353	4406
FRY4	16073	16381	16528	16973	17555	18065	18555	18999	19511
FRY5	1496	1583	1702	1855	2079	2208	2420	2496	2660
FRZZ	1057.5	1062.34	1054.22	1020.07	1062.43	1067.64	1087.76	1081.41	1081
HR03	14342.8	14124.44	14086.76	14140.63	14500.68	15248.75	16232.08	17056.81	17789.19
HU11	38605.57	38161.62	37988.01	39311.56	40344.58	41848.75	46260.45	49377.04	54343.95
HU12	10762.37	10238.12	10695.28	11033.7	11773.01	11971.45	12871.24	13946.9	15314.98
HU21	9878.98	9515.14	9966.87	10371.47	11411.12	11930.96	12793.91	13680.18	14650.09
HU22	10408.69	10127.94	10402.94	11219.79	12208.43	12668.46	13402.06	14047.26	14367.24
HU23	6412.69	6374.78	6536.55	6497.35	6890.72	7119.86	7801.97	8513.2	8936.64
HU31	7259.98	7107.56	7510.89	7898.45	8862.25	9044.49	10185.7	10833.77	11167.74
HU32	9860.27	9759.48	9808.07	10217.76	10808.74	11003.42	12154.21	13035.95	13936.05
HU33	9004.97	8996.54	9367.5	9747.77	10524.73	10692.05	11576.48	12639.07	13396.46
HUZZ	0	0	0	0	0	0	0	0	0
IE04	22353.25	22176.37	20136.13	21061.19	22726.38	21545.3	22518.84	23200.34	22138.41
IE05	56891.65	58278.92	57418.32	60546.91	112672.98	105013.59	121076.42	133493.02	148546.48
IE06	92438.52	95057.49	101856.79	113325.67	127400.77	143499.32	153329.94	169349.4	185841.37
ITC1	127658.9	123364.91	124536.96	124277.62	126868.33	130070.95	134450.31	137202.41	137659.43
ITC2	4838.8	4879.29	4680.43	4643.64	4653.42	4610.66	4776.15	4823.93	4860.74
ITC3	47152.06	46307.27	45756.25	46573.51	47179.51	48068.02	49129.73	49293.35	50042.7
ITC4	357748.38	351389.95	348117.43	355346.81	362329.59	373037.53	383032.58	393500.34	397507.32
ITF1	32245.31	32213.29	31695.39	31656.84	31863.76	31954.43	32809.52	32969.03	33134.24
ITF2	6700.01	6490.27	6078.4	6009.55	6128.39	6179.32	6325.46	6442.67	6567.64
ITF3	102994.61	102632.59	100834.8	101232.96	103763.76	105498.56	107717.1	109119.26	111076.65
ITF4	71743.42	72225.25	70433.04	70821.53	72334.52	73638.33	74783.61	76373	77119.46
