geo	2016	2017	2018	2019	2020
TR71	22.6	25.8	23.9	24.1	28.5
TR72	23.0	24.8	26.5	27.0	27.3
TR81	20.9	19.2	23.2	20.3	24.8
TR82	13.2	16.2	16.1	21.3	20.3
TR83	18.1	20.6	19.1	21.2	25.1
TR90	19.2	21.6	22.1	23.6	25.5
TRA1	18.9	20.2	22.4	24.9	24.8
TRA2	32.0	34.7	35.9	39.3	42.4
TRB1	20.5	17.7	21.5	22.6	28.2
TRB2	38.8	38.1	42.2	40.9	41.9
TRC1	32.1	32.5	31.6	34.1	30.8
TRC2	37.7	35.5	37.1	42.4	48.3
TRC3	42.6	39.0	38.4	39.6	43.0
UKC1	18.4	12.8	9.3	17.3	
UKC2	12.4	12.7	14.7	11.6	
UKD1	12.8	8.6	7.4		
UKD3	11.3	10.4	11.9	11.9	
UKD4	8.7	9.7	9.5	13.7	
UKD6	9.7	6.3	10.0	13.6	
UKD7	12.8	13.3	13.4	13.2	
UKE1	15.3	10.3	11.3	11.0	
UKE2	6.7	9.8	7.0	5.8	
UKE3	13.2	12.1	12.0	13.9	
UKE4	13.0	11.5	12.1	14.8	
UKF1	10.6	11.4	10.0	10.7	
UKF2	10.7	9.0	7.6	9.7	
UKF3	14.0	14.8	9.9	9.5	
UKG1	11.8	11.2	10.4	10.4	
UKG2	8.9	11.4	10.4	11.3	
UKG3	14.4	14.8	12.6	11.7	
UKH1	10.5	12.0	12.6	11.6	
UKH2	7.9	9.0	8.7	9.2	
UKH3	10.0	10.7	9.4	8.6	
UKI3	8.2	8.6	7.3	10.1	
UKI4	10.0	8.0	9.7	11.6	
UKI5	11.2	10.3	11.4	11.6	
UKI6	11.4	9.9	11.9	13.4	
UKI7	10.6	9.4	13.1	8.5	
UKJ1	7.5	8.2	6.3	7.8	
UKJ2	9.3	8.1	10.5	8.5	
UKJ3	7.9	11.3	9.7	6.3	
UKJ4	9.8	7.1	10.8	8.7	
UKK1	7.2	7.8	8.0	7.9	
UKK2	9.7	7.2	9.5	9.7	
UKK3	10.4	13.9	9.2		
UKK4	10.9	10.4	7.5	8.7	
UKL1	10.5	11.0	12.2	13.9	
UKL2	11.6	8.1	7.7	8.1	
UKM5	7.7	7.0	12.0		
UKM6					
UKM7	13.4	7.8	9.4	9.2	
UKM8	11.0	12.4	12.0	8.6	
UKM9	14.0	10.1	9.2	13.3	
UKN0	11.5	11.6	11.5	9.7	
