geo	2013	2014	2015	2016	2017	2018	2019
PLZZ	0	0	0			0	0
PT11	237978	229744	221518	214519	210183	205952	200579
PT15	31071	30510	29826	29409	29487	29656	29808
PT16	137538	133666	129539	125274	122383	119808	118130
PT17	199977	194777	192307	189760	190875	191063	190780
PT18	46609	45367	44396	43054	42111	41230	40604
PT20	19962	20865	20709	19462	17915	17375	16669
PT30	19910	19109	18432	17405	16850	16576	16130
PTZZ	0	0	0	0	0	0	0
RO11	120308	121068	121346	121359	119929	123866	122790
RO12	116969	118608	119727	118799	117806	120080	119274
RO21	180407	179385	178519	174102	170842	172499	168658
RO22	120579	122209	122507	121377	119898	120839	117487
RO31	139994	141342	141315	139156	137067	138333	134473
RO32	87134	93160	98907	101894	104311	109991	109461
RO41	89101	89167	87519	85409	83344	85014	83148
RO42	77459	77808	77365	77051	75048	77309	76128
ROZZ	0	0	0	0	0	0	0
RS11						66039	66905
RS12						71073	70223
RS21						73617	72128
RS22						54279	53141
RSZZ							0
SE11	182034	187251	195923	202371	206973	214268	213236
SE12	120019	123874	129753	136606	142710	148572	148867
SE21	59680	61947	64768	68303	72188	73908	74234
SE22	108412	111913	118279	123957	129584	135959	135856
SE23	143761	149170	155647	162510	170437	177505	176822
SE31	57804	59457	62149	65216	69035	71290	69630
SE32	26472	27709	28881	30366	31421	32259	31250
SE33	35231	35846	36494	37357	38736	39730	38954
SEZZ	0	0	0	0	0	0	0
SI03	56517	58015	59682	60289	63090	65384	66878
SI04	52701	53633	55878	59274	60908	63738	65674
SIZZ	0	0	0	0	0	0	0
SK01	22659	23855	25105	26512	28140	29547	30804
SK02	63072	63941	64864	65981	67293	68561	68962
SK03	52137	52395	52598	52903	54081	54538	54700
SK04	73539	73575	73699	74470	75913	76810	77254
SKZZ	0	0	0	0	0	0	0
TR10	946173	953786	940033	926622			915210
TR21	88119	88236	87906	88599			89785
TR22	83443	82589	80559	79476			77233
TR31	222109	224719	223181	223118			224810
TR32	167632	167885	164712	163495			156366
TR33	185375	183691	176359	172252			164012
TR41	225698	227984	226875	228302			237662
TR42	223089	224999	224775	226585			226140
TR51	309876	314595	315060	313535			312444
TR52	176089	175595	169085	165250			161654
TR61	181772	182794	179710	180322			176334
TR62	294031	291932	286196	281202			290409
TR63	272282	270975	263377	259320			279060
TR71	108313	107089	99880	98196			92534
TR72	175728	175148	166027	162041			152902
TR81	57163	55931	54164	53169			48342
TR82	40706	39097	37430	36472			34107
TR83	172078	166553	159231	155095			144995
TR90	149483	145784	137710	135734			125483
TRA1	87567	83570	78099	74692			67233
TRA2	128017	122478	113108	109140			94817
TRB1	123275	122037	118082	115455			109380
TRB2	254015	247603	233850	226650			193771
TRC1	251814	253758	251555	248749			277281
TRC2	412180	409721	399837	397204			399876
TRC3	257883	256367	247349	240028			215538
TRZZ							
