geo	2013	2014	2015	2016	2017	2018	2019
NL32	112047	118551	144696	140816	146521	145315	152371
NL33	148682	154028	182967	181293	191663	195958	204902
NL34	6956	7302	10592	10298	11227	10315	10586
NL41	89813	92661	113428	114031	115913	117517	120128
NL42	39347	39154	48645	46411	47763	48433	49740
NLZZ	17244	21244	25673	29697	34357	38235	31960
NO01	85857	85536	84879	87195	89868	91590	91884
NO02	15963	16991	16897	17732	17953	18876	18559
NO03	22202	22891	23883	24886	25445	26013	26945
NO04	24471	26012	26903	28238	29070	30029	30979
NO05	45453	45909	47847	49236	50534	51029	51601
NO06	37660	39408	41464	41977	43334	43602	44361
NO07	22356	23319	23577	24498	24673	25045	24994
NOZZ	255416	4141	2781	3687	3165	2555	691
PL21	222865	208393	199924	193352	186243	174594	165261
PL22	167477	151303	140591	133119	128132	126416	123254
PL41	178003	167421	159725	156484	150392	146843	138720
PL42	66479	61545	55000	50439	46324	43967	41387
PL43	20780	18624	17756	16581	15156	14719	13799
PL51	172183	157537	152214	147740	145305	138605	135599
PL52	36055	32093	29163	26685	24166	24747	23423
PL61	84600	77437	73334	70227	68074	68530	66037
PL62	49036	42321	37965	35678	33242	31340	29006
PL63	115462	109832	105903	104248	101449	94529	91650
PL71	121134	110842	104373	99160	97867	97274	89496
PL72	47299	40947	36370	33963	30946	30815	29005
PL81	103066	94818	90361	86501	83112	81249	79618
PL82	69992	64618	61035	58271	54985	52337	49386
PL84	51454	45928	41660	38909	37329	34055	33762
PL91	349863	337741	322571	314747	315000	301746	294262
PL92	46970	41266	37360	34104	32481	31133	27316
PLZZ	0	0	0			0	0
PT11	116131	112290	108950	111350	112030	115862	120925
PT15	8836	8344	7573	7502	7724	7931	8344
PT16	79079	77194	72846	73809	75193	77260	78685
PT17	135907	133154	129488	131414	131784	134731	138832
PT18	14414	13451	12738	13235	14351	14789	15566
PT20	3384	2980	2823	2617	2701	2683	2673
PT30	3067	3100	3089	3190	3180	3134	3156
PTZZ	0	0	0	0	0	0	0
RO11	95027	96389	90418	90977	91370	92862	93552
RO12	67699	60728	57619	55702	55777	56803	56284
RO21	78180	73725	69802	69502	66930	67772	67427
RO22	47841	42649	40516	40052	38755	38908	38722
RO31	36310	26840	24540	23562	22372	21482	20650
RO32	183715	181344	171224	170542	172209	176385	172709
RO41	36580	31662	29345	28204	28383	28868	28627
RO42	72805	65368	58189	56677	55790	55791	55778
ROZZ	0	0	0	0	0	0	0
RS11						144948	142183
RS12						57200	55108
RS21						25957	24544
RS22						28067	27936
RSZZ							
SE11	92487	93605	92717	90917	90906	91033	90684
SE12	84111	86613	85943	85518	87488	88378	87645
SE21	35216	30426	30303	30652	30378	31694	32204
SE22	68568	66599	68289	66483	65338	64361	63971
SE23	77454	77206	76721	76250	76836	81028	81815
SE31	31125	30642	30949	32055	31218	30226	30904
SE32	11113	10082	10129	10688	10356	10179	11290
SE33	36529	34271	33506	33625	33834	34166	33722
SEZZ	0	0	0	0	0	0	0
SI03	31626	29583	26658	24552	23997	22375	21996
SI04	68251	63186	58958	56246	55550	54159	53995
SIZZ	0	0	0	0	0	0	0
SK01	78190	74681	70828	62907	59193	54216	53661
SK02	52749	49861	45052	41570	38486	35544	33708
