NUTS,Air_passengers,Hospital_beds,Death_rate,Compensation_of_employees,Deaths,Early_leavers_from_ed.,Employment_worked_hrs.,Farm_labour_force,Health_personnel,Respiratory_discharges,Life_expectancy,Longterm_care_beds,Gross_domestic_product,Ed._participation,Population_density,Population,Pupils_enrolled,GVA_growth,Vehicles,Tertiary_ed._students,Unemployment_rate,Utilised_agricultural_area,NEET_rate,Cases_density_1,Cases_density_2,Country,Latitude,Longitude
DEC,343,1238.3007412956074,1398.5,19864.81,13555,11.7,702041.0077216111,1800,4090.990536886808,16991,81.2921052631579,130.76905212994902,36382.55,5.3,385.5,986887,8336,100.6,588218.9368395607,39114,3.9642857142857144,77920,8.225,0.003078366621507832,0.02534940677098797,DE,6.957,49.3922
DED,4197,741.753299976021,1179.4407894736842,90718.21031212837,54946,11.45,2896674.7198546305,22940,16879.738842924784,NA,81.2921052631579,134.23770927591298,NA,7.545945945945946,11.51575633669101,4071971,34398,106.8,2427036.177861825,161389,3.9642857142857144,906640,8.225,0.0014165130350879218,0.045236569710344204,DE,13.3332,51.0583
DEE,NA,335.0627763566962,1511.31,32943.95,32299,12.7,1452109,16120,9098.13625321795,44487,81.2921052631579,125.85720006014263,63725.12,5.2,108.7,2194782,18540,102.5,1376196,86988,4.8,1172780,7.1,9.74584263949677e-4,0.025525086318367838,DE,11.6996,52.011
DEF,130,251.52461581024798,1241.54,48028.67,34960,14.8,1960862,25520,12037.151025666988,49851,81.2921052631579,114.41217961695855,98261.1,7.4,188.2,2903773,24530,107.6,1876900,115088,3.4,990450,9.3,0.0013258612157355275,0.012723101978012746,DE,9.8212,54.0804
DEG,150,620.2115138159376,1388.99,34106.75,29196,9.6,1509518,15940,8843.595274436186,40560,81.2921052631579,127.5517383745098,63946.76,6,132.4,2133378,18022,103.3,1366858,84554,4.2,780670,5.7,0.0016509029342198147,0.03263650417319387,DE,11.0218,50.9044
DK01,30135,297.59,844.13,64758.98,15321,7.9,1527162,2650,8961,28694,81.5,134.75360350307866,126934.24,22.7,756,1846023,143164,114.3,909175,128712,6.1,98480,7.1,0.0039999501631344785,0,DK,12.3296,55.8618
DK02,6,275.73,1094.17,15793.52,9056,11.9,456715,7910,3069,12169,80.8,120.38928317136187,30909.62,18.9,118.3,837359,66815,107.8,450391,24142,5.3,470050,8,0.002430259900472796,0,DK,11.7509,55.4376
DK03,3847,252.61,1016.24,30028.53,12163,10.1,830170,17080,4879,16125,81.5,117.74504474801341,58664.66,18.5,102,1223105,98059,107.5,675759,52316,5.1,773600,7.9,8.568356764137176e-4,0,DK,9.0569,55.4038
DK04,612,216.92,886.77,33907.66,11367,9.6,924964,15950,5274,16990,82,118.52006924439993,65703.05,18.9,103.7,1326340,108318,116.5,720480,71223,5.5,791690,7.1,0.0012485486376042343,0,DK,9.3996,56.2457
DK05,1443,225.31,1048.94,13828.91,6051,8.4,395443,9580,2099,7734,81.3,119.27484904919856,26559.43,17.9,76.4,589936,45518,107,329763,32174,5.8,485520,7.7,9.475604133329718e-4,0,DK,9.953,57.2719
EE00,3258,453.01,1183.46,13785.1,15401,7.5,1182028,22060,4603,1324.3,79,116.11,28112.39,17.1,30.5,1328976,89618,120,NA,45484,6.8,957510,8.9,0.0016599246337029412,0.041254319114867384,EE,25.8548,58.6709
ES11,5248,329.67,1199.91,27844.8,31268,12,1871340.3,76900,12831,45875,84,122.28,64429.89,11.6,92,2702592,139276,109.6,1872820,99536,12,655520,9.2,0.004305866368286445,0.03622670384578952,ES,-7.8957,42.7431
ES12,1405,345.79,1291.62,10891.4,12893,8.9,684403,20240,4065,17387,83.2,71.78,23765.12,11.1,96.6,1018899,50287,106.8,629120,34999,14.1,336310,12.1,0.002877615936417643,0.03850725145475656,ES,-5.9972,43.3017
ES13,1171,328.34,1048.38,6304.4,6013,9.1,390162.8,8800,3000,7287,83.9,103.56,14187.41,11.9,110.5,582388,34068,109.7,377754,23531,12.1,222950,10.5,0.005561584373304395,0.03596056237422474,ES,-4.0606,43.1875
ES21,6353,325.71,1000.89,34098.9,21566,6.5,1734820.2,13280,12300,32935,84.5,107.94,74496.02,13.1,303.7,2189138,139270,109.5,1226007,89224,9.5,187250,8.2,0.010609198689164412,0.056975850768658715,ES,-2.5863,43.0651
ES22,240,335.41,899.51,9521.1,5568,10.8,514593.8,11320,3530,8125,85,96.2,20973.51,13.6,63.1,656509,43985,111.1,424559,27393,10.1,546890,9.9,0.012875680302935679,0.06449111893363228,ES,-1.6508,42.7117
ES23,NA,323.43,1023.22,3649.7,3147,14.6,240385.3,8290,1100,5206,84.2,97.33,8866.58,10.5,62.6,315931,20233,106.3,194966,34712,10.8,215840,9.1,0.015158373189082426,0.0712687263991188,ES,-2.4332,42.3132
ES24,345,362.29,1070.73,17017.9,13620,14.2,1045786.8,39460,6665,18764,84.4,86.34,38044.04,10.9,27.9,1330333,82001,109.9,792992,52720,11.7,2261690,11.8,0.01747757892196916,0.061605628064552255,ES,-0.6751,41.507
ES30,59747,273.1,706.52,117599,47165,10,5882698.4,5720,34800,93568,85.8,122.6,240129.72,12.4,839.7,6747068,444162,114.1,4625861,408905,12.5,304150,9.9,0.014749962502230601,0.07019938142019615,ES,-3.7119,40.5008
ES41,242,349.97,1214.06,25704.4,28719,15.4,1701302.1,67360,11200,39128,84.7,87.57,59794.83,10.4,25.6,2401307,128342,108,1662819,109491,12.1,5295680,11.7,0.010160300203181018,0.07460478814245743,ES,-4.8172,41.7447
ES42,NA,233.41,962.47,17895.8,19467,18.7,1266063.8,75350,5765,26435,83.9,44.91,42820.22,9.1,25.8,2045554,134390,110.6,1436412,53090,17.7,4045810,12.4,0.01018159383717076,0.07127800097186386,ES,-3.1358,39.2748
ES43,NA,335.24,1072.25,8806.2,11261,18.4,661819.3,55070,3265,14968,83.1,84.51,20676.92,10.3,26,1061979,64295,108.7,765835,32624,21.8,2491730,16.6,0.0038428255172654074,0.06084583593460888,ES,-6.1601,39.1892
ES51,54693,384,884.26,110681,64547,17.4,6151178.5,56050,37258,123067,84.3,115.07,236814.4,10,238.1,7652348,518479,110.7,4429223,379060,12.6,1125270,17,0.01270564276480892,0.06054756004300902,ES,1.5078,41.8005
ES52,23401,231.9,913.8,52296.6,44016,15.5,3420227.5,63490,19660,64922,83.5,181.74,116015.25,12,216.2,5029341,328888,110.9,3161734,223082,16.2,637750,12,0.003704660312355038,0.07053051284452576,ES,-0.54,39.3945
ES53,40285,287.46,696.86,14678.6,7995,21.3,893071.8,7510,4400,18315,84.2,204.91,33799.28,11.3,241.2,1210725,72230,112.9,894665,25261,16.1,176280,18.2,0.004211526151685973,0.041676681327303886,ES,2.9634,39.6075
ES61,30414,217.98,864.81,74880.5,70505,21.8,5145657,242240,31430,74637,82.6,190.02,165865.23,9.6,97.4,8478083,585983,110.6,5184724,344735,22.3,4369000,17.2,0.0026063675007663876,0.05267004345203981,ES,-4.5804,37.4607
ES62,22,325.41,764.5,14917.1,11568,18.7,1061000.4,40490,6766,19154,82.9,458.72,32356.07,12.8,132.4,1504869,110298,109.9,965936,69642,16.2,375860,12.4,0.002597568293319884,0.06737397075758754,ES,-1.4907,37.9999
ES63,NA,211.94,629.27,998.4,537,25.5,51526.2,0,765,627,81.4,596.32,1765.16,9,4222.9,84085,7827,107.2,50245,2677,24.5,0,18.9,0.0024023309746090266,0.05081762502229886,ES,-5.3543,35.8958
ES64,428,190.35,609.22,908.6,491,22.8,49001.5,0,317.1908224422171,613,81.4,272.26,1621.83,10.5,6041.5,84473,8346,108.7,60568,2948,23.6,0,22.8,0.0025451919548258022,0.07735015922247346,ES,-2.9509,35.297
ES70,40035,290.96,744.08,21737.4,15756,18.2,1416989.8,21990,8765,24076,83.5,220.55,47164.2,10.2,299.4,2236992,125972,111.2,1583502,70349,22.6,52210,19.7,0.0018363945870168512,0.015706359253855176,ES,-16.5646,28.2457
